1.1851e+00   3.5998e-01   1.6667e-01   1.2149e+01
   1.3170e+00   3.9013e-01   1.6667e-01   1.0649e+00
   1.3564e+00   3.3898e-01   1.6667e-01   2.3018e+00
   1.6008e+00   5.3351e-01   8.3333e-02   1.0641e+00
   1.3729e+00   4.7917e-01   1.1111e-01   1.1654e+01
   9.3528e-01   4.6334e-01   5.5556e-02   1.5901e+01
   1.3841e+00   5.2645e-01   5.0000e-01   1.0439e+00
   1.0712e+00   3.4664e-01   2.5000e-01   1.8075e+01
   9.9040e-01   4.1470e-01   2.5000e-01   5.3132e+00
   9.7256e-01   3.5107e-01   2.5000e-01   1.5302e+01
   1.0553e+00   3.8666e-01   2.5000e-01   1.4612e+01
   1.2345e+00   4.9907e-01   1.0000e-01   2.3026e+00
   1.4434e+00   5.2741e-01   1.2500e-01   1.0671e+00
   9.7664e-01   5.3540e-01   2.0000e-01   1.3931e+01
   8.8496e-01   3.9586e-01   2.0000e-01   1.8075e+01
   1.5043e+00   4.5751e-01   1.4286e-01   1.0538e+00
   1.2054e+00   5.3515e-01   3.3333e-01   1.1291e+00
   1.3909e+00   5.1168e-01   1.6667e-01   1.0500e+00
   1.3834e+00   5.1506e-01   1.6667e-01   1.0641e+00
   1.3333e+00   5.1944e-01   2.0000e-01   1.0516e+00
   1.0199e+00   4.0231e-01   1.2500e-01   2.3246e+00
   1.0198e+00   4.1160e-01   1.2500e-01   1.9549e+00
   1.0232e+00   4.0912e-01   1.2500e-01   2.2757e+00
   9.9653e-01   4.2154e-01   1.2500e-01   2.2192e+00
   1.0270e+00   4.0347e-01   1.2500e-01   1.4142e+00
   1.0173e+00   4.1781e-01   1.2500e-01   2.2726e+00
   9.9783e-01   4.1166e-01   1.2500e-01   2.3181e+00
   1.0399e+00   4.0635e-01   1.2500e-01   1.1596e+00
   1.0723e+00   3.8845e-01   1.2500e-01   2.3185e+00
   1.0251e+00   4.7772e-01   1.2500e-01   1.5112e+00
   1.0378e+00   3.9987e-01   1.2500e-01   1.3693e+00
   1.0072e+00   4.2294e-01   1.2500e-01   1.6991e+00
   1.0330e+00   4.4722e-01   1.2500e-01   1.3875e+00
   9.7789e-01   4.6570e-01   1.2500e-01   2.3635e+00
   1.3286e+00   4.5338e-01   1.0000e-01   1.4193e+01
   9.6211e-01   5.5124e-01   2.5000e-01   2.1342e+00
